x,y,name,region,dp
70889.6372999996,402526.2868000008,Oosterschelde,Os,725.0
70848.00279999897,402553.47260000184,Oosterschelde,Os,725.5
70801.66589999944,402571.82129999995,Oosterschelde,Os,726.0
70752.19449999928,402577.7329999991,Oosterschelde,Os,726.5
70702.66479999945,402571.6136999987,Oosterschelde,Os,727.0
70653.61300000176,402562.0197999999,Oosterschelde,Os,727.5
70603.83540000021,402557.43389999866,Oosterschelde,Os,728.0
70554.02930000052,402553.0758000016,Oosterschelde,Os,728.5
70504.25129999965,402548.3739,Oosterschelde,Os,729.0
70454.43829999864,402544.0538999997,Oosterschelde,Os,729.5
70404.6261,402539.7237999998,Oosterschelde,Os,730.0
70354.82459999993,402535.27490000054,Oosterschelde,Os,730.5
70305.03660000116,402530.6759000011,Oosterschelde,Os,731.0
70255.24489999935,402526.1169000007,Oosterschelde,Os,731.5
70205.4477000013,402521.61890000105,Oosterschelde,Os,732.0
70155.64009999856,402517.2368000001,Oosterschelde,Os,732.5
70105.89059999958,402512.3308000006,Oosterschelde,Os,733.0
70058.31060000136,402497.54740000144,Oosterschelde,Os,733.5
70014.92469999939,402472.91910000145,Oosterschelde,Os,734.0
69978.2386999987,402439.11740000173,Oosterschelde,Os,734.5
69950.41730000079,402397.6867999993,Oosterschelde,Os,735.0
69933.91059999913,402350.6486000009,Oosterschelde,Os,735.5
69923.38679999858,402301.77910000086,Oosterschelde,Os,736.0
69913.9197999984,402252.6838000007,Oosterschelde,Os,736.5
69904.10770000145,402203.6563999988,Oosterschelde,Os,737.0
69894.14279999956,402154.6598000005,Oosterschelde,Os,737.5
69884.49370000139,402105.59970000014,Oosterschelde,Os,738.0
69874.8925999999,402056.53009999916,Oosterschelde,Os,738.5
69865.16070000082,402007.4864999987,Oosterschelde,Os,739.0
69855.34870000184,401958.45859999955,Oosterschelde,Os,739.5
69845.33480000123,401909.4721000008,Oosterschelde,Os,740.0
69813.05620000139,401892.9153999984,Oosterschelde,Os,740.5
69764.10660000145,401902.85920000076,Oosterschelde,Os,741.0
69714.31670000032,401900.52980000153,Oosterschelde,Os,741.5
69665.59679999948,401889.308699999,Oosterschelde,Os,742.0
69616.91539999843,401877.9015999995,Oosterschelde,Os,742.5
69568.14790000021,401866.8698000014,Oosterschelde,Os,743.0
69519.36730000004,401855.89460000023,Oosterschelde,Os,743.5
69470.61520000175,401844.79360000044,Oosterschelde,Os,744.0
69421.85559999943,401833.72569999844,Oosterschelde,Os,744.5
69373.06399999931,401822.8007999994,Oosterschelde,Os,745.0
69324.22590000182,401812.08480000123,Oosterschelde,Os,745.5
69275.45789999887,401801.0577000007,Oosterschelde,Os,746.0
69226.74450000003,401789.7897000015,Oosterschelde,Os,746.5
69177.92170000076,401779.0036999993,Oosterschelde,Os,747.0
69129.14719999954,401768.00360000134,Oosterschelde,Os,747.5
69080.41220000014,401756.82759999856,Oosterschelde,Os,748.0
69031.6671999991,401745.6955999993,Oosterschelde,Os,748.5
68982.94550000131,401734.4626000002,Oosterschelde,Os,749.0
68934.23539999872,401723.1805999987,Oosterschelde,Os,749.5
68885.44530000165,401712.24760000035,Oosterschelde,Os,750.0
68836.6884999983,401701.1677000001,Oosterschelde,Os,750.5
68787.95980000123,401689.9646999985,Oosterschelde,Os,751.0
68740.2089000009,401675.63639999926,Oosterschelde,Os,751.5
68696.30539999902,401652.53180000186,Oosterschelde,Os,752.0
68646.36710000038,401650.3359000012,Oosterschelde,Os,752.5
68596.39409999922,401648.6948999986,Oosterschelde,Os,753.0
68546.41710000113,401647.1788999997,Oosterschelde,Os,753.5
68496.44280000031,401645.58100000024,Oosterschelde,Os,754.0
68448.72100000083,401657.48149999976,Oosterschelde,Os,754.5
68403.91759999841,401679.6755999997,Oosterschelde,Os,755.0
68356.89149999991,401695.4640999995,Oosterschelde,Os,755.5
68306.92610000074,401697.26309999824,Oosterschelde,Os,756.0
68256.95560000092,401698.97410000116,Oosterschelde,Os,756.5
68206.98589999974,401700.70600000024,Oosterschelde,Os,757.0
68157.01520000026,401702.3990999982,Oosterschelde,Os,757.5
68107.059799999,401704.507100001,Oosterschelde,Os,758.0
68057.10850000009,401706.70809999853,Oosterschelde,Os,758.5
68007.13529999927,401708.0078999996,Oosterschelde,Os,759.0
