HMTAFSTNL,x,y,dp
85700.0,60105.81720000133,401757.56700000167,857.0
85750.0,60061.96229999885,401733.55209999904,857.5
85800.0,60018.163600001484,401709.43620000035,858.0
85850.0,59974.36969999969,401685.31329999864,858.5
85900.0,59930.61410000175,401661.1174999997,859.0
85950.0,59886.775400001556,401637.07510000095,859.5
86000.0,59842.998500000685,401612.92020000145,860.0
86050.0,59799.20560000092,401588.80319999903,860.5
86100.0,59755.563400000334,401564.4061000012,861.0
86150.0,59709.98889999837,401544.2597000003,861.5
86200.0,59664.3049999997,401559.7355999984,862.0
86250.0,59622.86789999902,401587.7166999988,862.5
86300.0,59581.80409999937,401616.2375999987,863.0
86350.0,59540.678599998355,401644.66589999944,863.5
86400.0,59498.16050000116,401670.6196000017,864.0
86450.0,59451.659699998796,401661.7857999988,864.5
86500.0,59413.55150000006,401629.7542999983,865.0
86550.0,59364.814399998635,401622.96719999984,865.5
86600.0,59318.19810000062,401608.4626000002,866.0
86650.0,59274.44750000164,401584.2822000012,866.5
86700.0,59229.31859999895,401568.873300001,867.0
86750.0,59204.66099999845,401537.0011,867.5
86800.0,59245.37180000171,401508.0164999999,868.0
86850.0,59286.03440000117,401478.9219999984,868.5
86900.0,59292.17080000043,401445.26099999994,869.0
86950.0,59277.29610000178,401427.43299999833,869.5
87000.0,59230.06309999898,401426.14090000093,870.0
