Gebied,dp,yMV.bui,ysloot.1d,xMV.bin,xSloot.1a,xSloot.1c,xSloot.1d,xSloot.1b,xWeg.1,xTeen.1,xBerm.1a,xBerm.1b,xKruin.1,xKruin.2,xBerm.2a,xBerm.2b,xTeen.2,xWeg.2,xSloot.2,xMVB.bui,yMV.bin,ySloot.1a,ySloot.1c,ySloot.1b,yWeg.1,yTeen.1,yBerm.1a,yBerm.1b,yKruin.1,yKruin.2,yBerm.2a,yBerm.2b,yTeen.2,yWeg.2,ySloot.2
Os,829.0,-1.628,-0.59,-200.93,-26.93,-24.68,-24.47,-21.93,-21.93,-14.979,-2.795,-2.795,-2.795,-0.552,7.765,13.823,25.428,29.07,210.07,314.07,0.661,1.079,-0.59,1.29,1.29,1.5,6.43,6.43,6.43,6.43,3.8,3.61,0.44,-0.269,-1.283
Os,830.0,-1.668,-0.59,-200.26,-28.26,-25.68,-25.13,-22.26,-22.26,-15.23,-3.169,-3.169,-3.169,-0.816,7.351,13.578,25.017,33.74,95.74,319.74,0.822,1.13,-0.59,1.323,1.323,1.48,6.51,6.51,6.51,6.54,3.78,3.6,0.35,-0.666,-0.545
Os,831.0,-1.597,-0.58,-200.32,-27.32,-25.05,-24.67,-22.32,-22.32,-14.917,-2.75,-2.75,-2.75,-0.53,7.862,14.005,25.892,33.33,135.68,325.68,0.841,1.236,-0.58,1.302,1.302,1.58,6.59,6.59,6.59,6.61,3.83,3.6,0.33,-0.535,-0.686
Os,832.0,-1.611,-0.58,-200.68,-27.68,-25.57,-25.26,-22.68,-21.68,-16.024,-3.361,-3.361,-3.361,-1.209,6.97,13.299,24.645,33.32,158.32,311.32,0.72,0.98,-0.58,1.334,1.572,1.57,6.5,6.5,6.5,6.53,3.92,3.62,0.37,-0.398,-0.768
Os,833.0,-1.654,-0.63,-200.0,-29.0,-26.12,-24.99,-22.0,-22.0,-15.103,-2.719,-2.719,-2.719,-0.134,7.169,13.024,24.527,36.0,194.0,321.0,0.669,1.288,-0.63,1.364,1.364,1.34,6.29,6.29,6.29,6.28,3.8,3.57,0.55,0.088,-1.038
Os,834.0,-1.707,-0.63,-202.1,-26.97,-24.78,-24.53,-22.1,-14.94,-14.937,-3.15,-3.15,-3.15,-0.725,6.619,13.657,24.84,29.9,117.9,274.9,0.989,0.989,-0.63,1.172,1.295,1.35,6.14,6.14,6.14,6.16,3.87,3.61,0.47,-0.293,-0.898
Os,835.0,-1.623,-0.63,-200.62,-30.43,-28.44,-28.1,-25.62,-25.62,-21.898,-15.272,-13.831,-5.099,-1.332,5.882,12.835,22.892,29.38,29.38,188.38,0.846,0.846,-0.63,1.208,1.208,1.47,2.31,2.36,6.07,6.13,3.88,3.56,0.3,-0.762,-0.762
Os,836.0,-1.636,-1.16,-200.46,-31.4,-28.92,-28.65,-25.46,-22.4,-22.399,-14.439,-8.18,-2.873,-0.323,4.306,8.225,26.219,37.54,156.54,201.54,0.468,0.492,-1.16,0.966,1.046,0.96,4.16,4.49,6.32,6.38,4.74,4.6,0.32,-0.692,-1.139
Os,837.0,-1.684,-1.13,-74.63,-27.63,-25.74,-24.8,-21.63,-21.63,-13.818,-3.032,-3.032,-3.032,-0.384,6.139,12.88,23.353,35.37,139.37,171.37,0.11,0.128,-1.13,0.985,0.985,1.38,6.08,6.08,6.08,6.08,3.84,3.57,0.29,-0.726,-1.358
Os,838.0,-1.574,-1.13,-200.99,-26.38,-24.62,-24.15,-21.99,-20.99,-13.774,-3.088,-3.088,-3.088,-0.574,5.737,15.144,25.529,45.01,121.01,153.01,0.042,0.042,-1.13,0.312,1.004,1.48,6.1,6.1,6.1,6.16,3.79,3.57,0.28,-0.448,-1.463
Os,839.0,-1.557,-1.13,-190.65,-29.65,-27.91,-26.74,-23.65,-23.65,-15.867,-2.696,-2.696,-2.696,-0.048,8.976,17.96,30.744,43.35,43.35,45.35,0.032,0.032,-1.13,0.933,0.933,1.37,6.84,6.84,6.84,6.9,4.06,3.54,-0.4,-1.436,-1.436
